Key No.,Property Type ,Acquired,Total Mgt. Expenses,Closed,Sale Price
3531961000,Museum,2016-07-18,,2017-03-16,5
3531962000,School Site,2016-07-18,,2017-01-06,1
3540043000,Duplex,2016-09-08,4717.77,2017-08-09,8000
3640847100,Duplex,2012-12-17,10431.88,2017-01-23,1000
3640863100,Single Family,2016-10-31,1550.08,2017-06-29,12000
3641321100,Duplex,2015-01-05,2985.01,2017-02-23,2500
3641344100,Single Family,2014-06-02,683.31,2017-03-28,3000
3650045100,Duplex,2017-06-07,305.25,2017-11-18,16000
3651043100,Single Family,2016-10-31,3988.53,2017-09-27,1
3651383000,Single Family,2014-07-14,716.92,2017-01-05,16500
3651483000,Duplex,2011-09-16,4098.47,2017-07-13,2500
3651522000,Single Family,2015-07-13,2641.61,2017-02-01,35000
3660333100,Duplex,2015-01-05,3614.94,2017-12-14,4575
3660916000,Single Family,2016-10-31,847.99,2017-08-24,1
3661072000,Duplex,2015-09-14,385.15,2017-03-02,2500
3661736000,Day Care Center,2016-01-04,884.12,2017-01-05,7000
3880117000,Duplex,2008-07-28,1053.03,2017-11-06,5000
3880911000,Duplex,2015-09-14,1081.25,2017-12-21,23000
3881610000,Duplex,2016-01-04,1448.28,2017-01-04,1000
3890791000,Multi-Family,2015-01-05,3998.66,2017-02-08,25500
4010110000,Multi-Family,2013-10-14,3036.46,2017-08-28,3000
4010709000,Single Family,2013-08-16,12749.12,2017-01-31,16000
4010725000,Single Family,2016-06-13,1438.93,2017-12-18,11100
4020774000,Multi-Family,2015-09-14,182.34,2017-02-02,16000
4050594000,Single Family,2016-07-11,222.23,2017-10-17,1
4210002000,Duplex,2012-10-08,13888.49,2017-07-27,16000
4270128100,Single Family,2016-01-04,3924.68,2017-04-26,5000
4280630200,Condominium,2015-11-16,7842.1,2017-12-11,75261
4320135000,Single Family,2014-11-11,960.81,2017-02-02,11000
4320467000,Duplex,2015-07-13,6945.14,2017-06-08,1000
4330510000,Single Family,2014-06-02,2218.62,2017-06-12,20000
4331118000,Single Family,2016-10-31,565.42,2017-08-10,2900
4331130000,Single Family,2016-09-08,2769.22,2017-10-18,12250
4331754000,Duplex,2016-10-31,2810.32,2017-05-24,19500
4340001000,Duplex,2016-09-08,271.25,2017-05-01,10000
4340235000,Single Family - 4,2016-10-31,2633.96,2017-05-23,27000
