Key No.,Property Type ,Acquired,Total Mgt. Expenses,Closed,Sale Price
3121685000,Single Family,2013-08-16,"$1.689,76",2014-09-29,"$1,000,00"
3122226110,Single Family - 2,2013-10-14,"$1.316,58",2014-09-17,"$1,00"
3123244100,Single Family,2013-10-14,"$617,26",2014-09-17,"$1,00"
3130127000,Duplex,2013-08-16,"$111,42",2014-09-17,"$1,00"
3130201000,Single Family,2012-10-08,"$734,88",2014-12-19,"$6,000,00"
3130217000,Restaurant,2012-07-09,"$1.280,57",2014-08-20,"$10,000,00"
3130742000,Single Family,2013-08-16,"$2.597,63",2014-03-21,"$4,500,00"
3131103000,Single Family,2013-10-14,"$861,88",2014-11-25,"$5,600,00"
3131226000,Duplex,2010-07-26,"$1.532,29",2014-12-17,"$2,500,00"
3131345000,Single Family,2012-12-17,"$1.483,87",2014-09-17,"$1,00"
3131917100,Duplex,2012-07-09,"$1.803,45",2014-09-17,"$1,00"
3141014100,Single Family,2011-11-14,"$8.480,74",2014-12-05,"$2,850,00"
3141173000,Single Family,2013-08-16,"$253,30",2014-02-04,"$4,501,00"
3211270000,Single Family,2013-12-02,"$700,74",2014-10-09,"$12,000,00"
3211637000,Single Family - 2,2013-10-14,"$101.067,37",2014-10-30,"$55,077,00"
3211824000,Single Family,2012-10-08,"$1.215,77",2014-11-12,"$2,750,00"
3220133000,Single Family,2013-08-16,"$1.457,84",2014-10-20,"$10,077,00"
3220148000,Single Family,2013-10-14,"$402,15",2014-11-11,"$1,00"
3220730100,Single Family,2013-08-16,"$554,20",2014-12-02,"$14,500,00"
3220770000,Duplex,2010-07-26,"$3.841,64",2014-06-06,"$8,000,00"
3220960100,Duplex,2010-07-26,"$1.158,97",2014-09-17,"$1,00"
3220961000,Duplex,2012-10-08,"$1.519,46",2014-09-17,"$1,00"
3220987000,Duplex,2010-03-01,"$456,44",2014-09-17,"$1,00"
3221023100,Church,2012-10-08,"$596,87",2014-09-17,"$1,00"
3221138000,Duplex,2012-12-17,"$797,66",2014-09-17,"$1,00"
3230502000,Single Family,2013-12-02,"$50,57",2014-09-17,"$1,00"
3230613000,Single Family - 2,2012-10-08,"$1.605,49",2014-09-17,"$1,00"
3230681000,Duplex & Single Family,2012-12-17,"$13.671,52",2014-10-08,"$9,123,00"
3231127000,Single Family,2013-12-02,"$1.737,33",2014-12-19,"$10,000,00"
3231153110,Duplex,2013-08-16,"$1.816,44",2014-06-30,"$2,650,00"
3231272000,Duplex,2013-10-14,"$451,65",2014-09-17,"$1,00"
3240507000,Single Family,2011-09-16,"$2.873,67",2014-09-17,"$1,00"
3240634100,Single Family,2012-07-09,"$4.911,77",2014-06-18,"$3,900,00"
3240719000,Duplex & Single Family,2012-10-08,"$1.813,17",2014-10-10,"$2,500,00"
3241100000,Duplex,2013-08-16,"$152,88",2014-09-17,"$1,00"
3241308000,Single Family,2013-10-14,"$752,86",2014-09-17,"$1,00"
3242111000,Single Family,2013-08-16,"$178,97",2014-09-17,"$1,00"
3249866000,Single Family,2012-01-30,"$5.247,44",2014-10-01,"$3,150,00"
3260125100,Single Family,2009-07-20,"$744,23",2014-09-30,"$1,00"
3260136000,Single Family,2013-12-02,"$1.493,82",2014-10-22,"$5,000,00"
3260301000,Duplex,2012-10-08,"$603,45",2014-01-28,"$1,000,00"
3261128000,Duplex,2012-12-17,"$1.113,31",2014-09-30,"$1,00"
3261282000,Single Family,2013-12-02,"$196,09",2014-09-30,"$1,00"
3261492000,Duplex,2013-12-02,"$50,82",2014-09-30,"$1,00"
3261495000,Duplex,2013-08-16,"$75,94",2014-09-30,"$1,00"
3270363000,Auto Repair Shop,2012-07-09,"$2.156,47",2014-08-05,"$1,00"
3270584000,Duplex,2013-10-14,"$2.458,14",2014-05-28,"$15,000,00"
3270589000,Duplex,2012-10-08,"$6.385,93",2014-03-28,"$3,750,00"
3271023000,Duplex,2012-10-08,"$1.549,96",2014-09-30,"$1,00"
3271324000,Single Family,2012-07-09,"$3.920,17",2014-05-09,"$20,000,00"
3271372000,Single Family,2012-10-08,"$1.555,37",2014-09-30,"$1,00"
3271512000,Single Family,2011-09-16,"$1.326,15",2014-09-30,"$1,00"
3271573000,Duplex,2013-12-02,"$1.492,84",2014-09-30,"$1,00"
3271580000,Single Family,2012-12-17,"$662,25",2014-09-30,"$1,00"
3271600000,Duplex,2011-11-14,"$438,90",2014-09-30,"$1,00"
3271617000,Duplex,2013-12-02,"$1.025,64",2014-11-12,"$3,000,00"
3271638000,Duplex,2010-07-26,"$11.138,32",2014-06-12,"$5,000,00"
3271767000,Condominium,2012-12-17,"$18.697,54",2014-06-19,"$10,500,00"
3280738000,Duplex,2013-08-16,"$2.438,33",2014-04-14,"$4,900,00"
3290427000,Single Family,2013-10-14,"$1.372,39",2014-07-30,"$2,625,00"
3291403000,Single Family,2012-12-17,"$611,79",2014-02-13,"$5,000,00"
