"Key No.","Property Type","Acquired","Total Mgt. Expenses","Closed","Sale Price "
3131632000,"Duplex","2015-11-16",1422.7,"2016-06-02",6500
3131640000,"Duplex","2013-12-02",9190.3,"2016-08-03",2500
3132342000,"Restaurant","2014-06-02",3826.2,"2016-08-19",100000
3140016000,"Single Family","2015-09-14",2690.81,"2016-04-19",7000
3140664100,"Single Family","2016-01-04",1173.23,"2016-08-31",6800
3141169000,"Duplex","2015-07-13",1088.64,"2016-03-03",4600
3141175000,"Single Family","2014-07-14",1476.32,"2016-01-07",3501
3210213000,"Single Family","2016-06-13",288.11,"2016-12-14",73100
3211578100,"Duplex & Single Family - 2","2016-01-04",729.43,"2016-12-08",22425
3211585000,"Single Family","2012-10-08",2012.74,"2016-02-24",8500
3220232100,"Duplex","2014-09-15",1718.91,"2016-03-31",13125
3220247000,"Duplex","2016-06-13",939.13,"2016-12-21",56239
3220470000,"Single Family","2015-11-16",1795.01,"2016-07-28",5000
3220537000,"Duplex","2012-07-09",4956.04,"2016-07-06",17201
3220609000,"Multi-Family","2013-12-02",975.23,"2016-05-04",1875
3220926100,"Single Family","2015-06-08",1048.2,"2016-01-26",3000
3221079100,"Duplex","2015-07-13",593.04,"2016-03-23",4000
3231259110,"Duplex","2016-01-04",724,"2016-10-27",2500
3240636000,"Duplex","2015-07-13",4482.93,"2016-07-20",6750
3240929000,"Single Family","2015-11-16",1376.38,"2016-12-14",3750
3240941000,"Single Family","2015-09-14",70.39,"2016-12-21",2500
3241085000,"Duplex","2015-06-08",1687.57,"2016-05-04",3750
3241530000,"Duplex","2015-11-16",2000.02,"2016-08-31",5000
3241606000,"Duplex","2015-01-05",3192.12,"2016-03-09",6750
3242104000,"Single Family","2015-01-05",2564.69,"2016-06-14",2250
3242126000,"Duplex","2016-06-13",733.71,"2016-11-16",3500
3250422000,"Duplex","2015-07-13",883.47,"2016-02-23",3000
3250743000,"Duplex","2015-07-13",1194.41,"2016-05-10",3000
3251004000,"Com/Res","2015-01-05",309.44,"2016-06-28",5000
3251069000,"Single Family","2016-01-04",2526.83,"2016-10-20",5440
3251356000,"Single Family","2015-09-14",435.35,"2016-05-26",3750
3260018000,"Single Family","2015-09-14",2041.29,"2016-11-22",3000
3260142000,"Single Family","2015-06-08",272.41,"2016-12-13",2500
3260170000,"Duplex","2016-01-04",2629.52,"2016-08-30",6151
3260411100,"Duplex","2015-06-08",957.31,"2016-02-23",2775
3261262000,"Single Family","2015-07-13",689.37,"2016-01-20",3000
3261450000,"Duplex","2015-09-14",1207.84,"2016-06-09",1000
3261477100,"Duplex","2016-01-04",1395.14,"2016-09-28",7125
3270513000,"Single Family","2014-07-14",1376.73,"2016-12-27",32000
3270526000,"Duplex","2015-07-13",2688.72,"2016-11-23",3200
3271255000,"Church","2014-06-02",775.17,"2016-06-30",5000
3271393000,"Single Family","2015-07-13",863.57,"2016-03-01",13000
3280320000,"Duplex","2015-07-13",1724.52,"2016-07-28",1000
3280770000,"Duplex","2014-11-11",1106.25,"2016-06-16",5000
3280778000,"Duplex","2015-07-13",639.63,"2016-01-27",10500
3280789000,"Duplex","2016-01-04",853.67,"2016-08-03",6075
3281210000,"Commercial","2011-06-29",21869.25,"2016-04-28",30000
3281286000,"Duplex","2014-06-02",6439.22,"2016-03-02",1
3281416000,"Duplex","2015-09-14",198.61,"2016-02-03",9000
3281609000,"Single Family","2015-06-08",1629.25,"2016-06-08",5000
3282011000,"Duplex","2015-07-13",1711.76,"2016-06-09",5000
3282014000,"Duplex","2015-06-08",471.94,"2016-09-15",7500
3290017000,"Duplex","2015-06-08",4109.76,"2016-09-21",22000
3290341000,"Single Family","2015-07-13",369.91,"2016-06-08",5000
3291423000,"Com/Res","2014-11-11",1687.59,"2016-11-10",30000
3291867000,"Single Family","2015-06-08",350.59,"2016-10-13",5000
3460121000,"Single Family","2015-11-16",728.22,"2016-05-10",89945
3470389000,"Single Family","2015-09-14",1918.71,"2016-04-12",3000
3471010000,"Single Family","2015-06-08",1665.46,"2016-09-07",13200
3480462000,"Duplex","2015-01-05",5662.46,"2016-09-27",5000
3480537000,"Duplex","2015-11-16",905.02,"2016-06-02",4000
3480587000,"Duplex","2015-06-08",204.66,"2016-02-09",1000
3480714000,"Duplex","2014-11-11",2176.95,"2016-07-12",2500
3480732000,"Duplex","2015-07-13",884.96,"2016-09-21",2500
3481073000,"Single Family","2015-09-14",159.66,"2016-02-09",1000
3481085000,"Single Family","2015-06-08",1098.54,"2016-02-09",1000
3481422000,"Duplex","2013-12-02",302.08,"2016-07-06",2500
3481430000,"Single Family","2012-10-08",14620.92,"2016-08-10",6000
3490282100,"Duplex","2015-07-13",986.37,"2016-04-26",2500
3490355100,"Single Family","2015-06-08",73.76,"2016-02-09",1000
3491158000,"Duplex","2016-01-04",1031.95,"2016-08-18",16100
